"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-09","2021","04","09","","24.6","","7.1","","15.9","","2.1","","0.0","","0.0","","0.0","","0.0","","","","8","","33",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-10","2021","04","10","","23.0","","8.8","","15.9","","2.1","","0.0","","0.0","","0.0","","0.0","","","","4","","37",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-11","2021","04","11","","18.1","","6.7","","12.4","","5.6","","0.0","","0.0","","0.0","","0.0","","","","3","","59",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-12","2021","04","12","","18.4","","7.1","","12.8","","5.2","","0.0","","0.0","","0.0","","0.0","","","","5","","56",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-13","2021","04","13","","18.6","","5.5","","12.1","","5.9","","0.0","","0.0","","0.0","","0.0","","","","2","","39",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-14","2021","04","14","","17.7","","7.0","","12.4","","5.6","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-15","2021","04","15","","9.4","","5.2","","7.3","","10.7","","0.0","","24.8","","0.0","","24.8","","","","13","","48",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-16","2021","04","16","","8.0","","4.0","","6.0","","12.0","","0.0","","9.8","","0.0","","9.8","","","","7","","55",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-17","2021","04","17","","9.8","","3.1","","6.5","","11.5","","0.0","","0.0","","0.0","","0.0","","","","3","","33",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-18","2021","04","18","","13.5","","4.4","","9.0","","9.0","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-19","2021","04","19","","17.2","","7.8","","12.5","","5.5","","0.0","","0.0","","0.0","","0.0","","","","17","","35",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-20","2021","04","20","","11.8","","3.5","","7.7","","10.3","","0.0","","1.2","","0.0","","1.2","","","","23","","64",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-21","2021","04","21","","3.7","","-1.9","","0.9","","17.1","","0.0","","0.0","","5.0","","6.4","","0","T","30","","32",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-22","2021","04","22","","4.5","","-3.0","","0.8","","17.2","","0.0","","0.0","","0.0","T","0.2","","2","","30","","51",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-23","2021","04","23","","15.1","","1.2","","8.2","","9.8","","0.0","","0.0","","0.0","","0.0","","0","T","28","","65",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-24","2021","04","24","","20.5","","7.4","","14.0","","4.0","","0.0","","0.0","T","0.0","","0.0","T","","","22","","51",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-25","2021","04","25","","16.9","","1.4","","9.2","","8.8","","0.0","","2.4","","0.0","","2.4","","","","28","","50",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-26","2021","04","26","","9.8","","0.0","","4.9","","13.1","","0.0","","0.0","","0.0","","0.0","","","","28","","51",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-27","2021","04","27","","15.9","","1.0","","8.5","","9.5","","0.0","","0.0","","0.0","","0.0","","","","28","","35",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-28","2021","04","28","","17.7","","8.1","","12.9","","5.1","","0.0","","5.4","","0.0","","5.4","","","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-29","2021","04","29","","18.0","","9.3","","13.7","","4.3","","0.0","","1.2","","0.0","","1.2","","","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-30","2021","04","30","","12.4","","3.2","","7.8","","10.2","","0.0","","29.8","","0.0","","29.8","","","","24","","48",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-05-01","2021","05","01","","10.3","","1.7","","6.0","","12.0","","0.0","","0.6","","0.0","","0.6","","","","25","","59",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-05-02","2021","05","02","","16.3","","4.1","","10.2","","7.8","","0.0","","0.0","","0.0","","0.0","","","","26","","48",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-05-03","2021","05","03","","9.3","","4.6","","7.0","","11.0","","0.0","","0.2","","0.0","","0.2","","","","","","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-05-04","2021","05","04","","13.9","","9.1","","11.5","","6.5","","0.0","","0.6","","0.0","","0.6","","","","5","","38",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-05-05","2021","05","05","","12.3","","8.9","","10.6","","7.4","","0.0","","1.4","","0.0","","1.4","","","","28","","36",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-05-06","2021","05","06","","15.3","","4.1","","9.7","","8.3","","0.0","","0.0","","0.0","","0.0","","","","30","","48",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-05-07","2021","05","07","","15.7","","3.6","","9.7","","8.3","","0.0","","0.0","","0.0","","0.0","","","","8","","36",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-05-08","2021","05","08","","","","","","","","","","","","","","","","","","","","","","",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-05-09","2021","05","09","","","","","","","","","","","","","","","","","","","","","","",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-05-10","2021","05","10","","","","","","","","","","","","","","","","","","","","","","",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-05-11","2021","05","11","","","","","","","","","","","","","","","","","","","","","","",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-05-12","2021","05","12","","","","","","","","","","","","","","","","","","","","","","",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-05-13","2021","05","13","","","","","","","","","","","","","","","","","","","","","","",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-05-14","2021","05","14","","","","","","","","","","","","","","","","","","","","","","",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-05-15","2021","05","15","","","","","","","","","","","","","","","","","","","","","","",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-05-16","2021","05","16","","","","","","","","","","","","","","","","","","","","","","",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-05-17","2021","05","17","","","","","","","","","","","","","","","","","","","","","","",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-05-18","2021","05","18","","","","","","","","","","","","","","","","","","","","","","",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-05-19","2021","05","19","","","","","","","","","","","","","","","","","","","","","","",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-05-20","2021","05","20","","","","","","","","","","","","","","","","","","","","","","",""
